codingre,descrip,familia,unidad,empaque,equivale,inventa1,stockmax,stockmin,ultcosto,costoprome,impuesto,pedido,status
"0059","sal amarilla","ABARR","GR","",1000.00,0.00,10.00,0.00,78.00,78.00,0.00,0.000,""
"0060","sal de grano","ABARR","GR","",1000.00,0.00,10.00,0.00,8.75,8.75,0.00,0.000,""
"0061","semilla girasol","ABARR","GR","",1000.00,0.00,10.00,0.00,47.62,47.62,0.00,0.000,""
"0062","vainilla liquida","ABARR","GR","",1000.00,0.00,10.00,0.00,43.96,43.96,0.00,0.000,""
"0063","vinagre de frambuesa","ABARR","GR","",1000.00,0.00,10.00,0.00,140.00,140.00,0.00,0.000,""
"0064","vino tinto cocina","ABARR","GR","",1000.00,0.00,10.00,0.00,56.30,56.30,0.00,0.000,""
"0065","galletas salmas","ABARR","GR","",1000.00,0.00,10.00,0.00,2.53,2.53,0.00,0.000,""
"0066","agua de garrafon","ABARR","GR","",1000.00,0.00,10.00,0.00,1.40,1.40,0.00,0.000,""
"0067","huevo","ABARR","GR","",1000.00,0.00,10.00,0.00,1.20,1.20,0.00,0.000,""
"0068","salsa bbq","ABARR","GR","",1000.00,0.00,10.00,0.00,56.04,56.04,0.00,0.000,""
"0069","pinguinos","ABARR","GR","",1000.00,0.00,10.00,0.00,3.06,3.06,0.00,0.000,""
"0070","salsa tabasco","ABARR","GR","",1000.00,0.00,10.00,0.00,723.33,723.33,0.00,0.000,""
"0071","condimix de pollo","ABARR","GR","",1000.00,0.00,10.00,0.00,92.01,92.01,0.00,0.000,""
"0072","mango en almibar","ABARR","GR","",1000.00,0.00,10.00,0.00,47.01,47.01,0.00,0.000,""
"0073","ate de guayaba","ABARR","GR","",1000.00,0.00,10.00,0.00,50.00,50.00,0.00,0.000,""
"0074","frijol negro","ABARR","GR","",1000.00,0.00,10.00,0.00,32.52,32.52,0.00,0.000,""
"0075","maizena","ABARR","GR","",1000.00,0.00,10.00,0.00,62.33,62.33,0.00,0.000,""
"0076","elote en grano lata","ABARR","GR","",1000.00,0.00,10.00,0.00,35.00,35.00,0.00,0.000,""
"0077","condimix de res","ABARR","GR","",1000.00,0.00,10.00,0.00,153.64,153.64,0.00,0.000,""
"0078","galletas marias","ABARR","GR","",1000.00,0.00,10.00,0.00,50.00,50.00,0.00,0.000,""
"0079","chocolate abuelita","ABARR","GR","",1000.00,0.00,10.00,0.00,121.10,121.10,0.00,0.000,""
"0080","amaranto","ABARR","GR","",1000.00,0.00,10.00,0.00,33.04,33.04,0.00,0.000,""
"0081","canela en polvo","ABARR","GR","",1000.00,0.00,10.00,0.00,150.00,150.00,0.00,0.000,""
"0082","anchoas","ABARR","GR","",1000.00,0.00,10.00,0.00,1.00,1.00,0.00,0.000,""
"0083","dulce de leche","ABARR","GR","",1000.00,0.00,10.00,0.00,87.11,87.11,0.00,0.000,""
"0084","pulpa guanabana","ABARR","GR","",1000.00,0.00,10.00,0.00,62.50,62.50,0.00,0.000,""
"0085","tajin","ABARR","G}","",1000.00,0.00,10.00,0.00,121.28,121.28,0.00,0.000,""
"0086","balsamico de pera","ABARR","ML","",1000.00,0.00,10.00,0.00,250.00,250.00,0.00,0.000,""
"0087","pulque","ABARR","ML","",1000.00,0.00,10.00,0.00,15.00,15.00,0.00,0.000,""
"0088","sal marina","ABARR","GR","",1000.00,0.00,10.00,0.00,55.00,55.00,0.00,0.000,""
"BRAM","ALMA DE MAGNO","BRAND","ML","",750.00,0.00,2.00,0.00,289.66,289.67,16.00,0.000,""
"BRAZ","AZTECA DE ORO 750 ML","BRAND","ML","",750.00,0.00,2.00,0.00,108.62,108.62,16.00,0.000,""
"BRCI","CARLOS I","BRAND","ML","",750.00,0.00,2.00,0.00,482.76,482.02,16.00,0.000,""
"BRCM","CARDENAL DE MENDOZA","BRAND","ML","",750.00,0.00,0.00,0.00,761.77,677.01,16.00,0.000,""
"BRDA","DUQUE DE ALBA","BRAND","ML","",700.00,0.00,0.00,0.00,582.80,291.40,16.00,0.000,""
"BRFA","FERNANDO CASTILLA ANTIQUE","BRAND","","",750.00,0.00,0.00,0.00,500.00,0.00,0.00,0.000,""
"BRFC","FERNANDO DE CASTILLA","BRAND","ML","",750.00,0.00,0.00,0.00,215.52,107.76,16.00,0.000,""
"BRFU","FUNDADOR","BRAND","ML","",700.00,0.00,0.00,0.00,150.00,150.00,16.00,0.000,""
"BRJI","JAIME I","BRAND","ML","",750.00,0.00,0.00,0.00,1.00,0.00,16.00,0.000,""
"BRMA","MAGNO","BRAND","ML","",750.00,0.00,8.00,0.00,170.69,170.69,16.00,0.000,""
"BRPR","PRESIDENTE","BRAND","ML","",940.00,0.00,0.00,0.00,68.70,68.02,0.00,0.000,""
"BRT1","TORRES 15","BRAND","ML","",750.00,0.00,4.00,0.00,366.38,366.38,16.00,0.000,""
"BRT5","TORRES 5 A¥OS","BRAND","ML","",750.00,0.00,8.00,0.00,129.79,139.90,0.00,0.000,""
"BRT9","TERRY 1900","BRAND","ML","",700.00,0.00,0.00,0.00,169.57,157.89,0.00,0.000,""
"BRTD","TORRES DIEZ","BRAND","ML","",750.00,0.00,12.00,0.00,197.41,197.42,16.00,0.000,""
"BRTE","TERRY CENTENARIO 750 ML.","BRAND","ML","",750.00,0.00,0.00,0.00,206.03,206.03,16.00,0.000,""
"BRTV","TORRES 20 A¥OS","BRAND","ML","",750.00,0.00,2.00,0.00,642.24,641.23,16.00,0.000,""
"0089","short rib c/h","CARNE","GR","",1000.00,0.00,10.00,0.00,309.77,309.77,0.00,0.000,""
"0090","pica¤a","CARNE","GR","",1000.00,0.00,10.00,0.00,168.91,168.91,0.00,0.000,""
"0091","pechuga de pollo","CARNE","GR","",1000.00,0.00,10.00,0.00,91.40,91.40,0.00,0.000,""
"0092","rib eye","CARNE","GR","",1000.00,0.00,10.00,0.00,275.00,275.00,0.00,0.000,""
"0093","cabeza de res","CARNE","GR","",1000.00,0.00,10.00,0.00,107.13,107.13,0.00,0.000,""
"0094","chicharron de cerdo","CARNE","GR","",1000.00,0.00,10.00,0.00,120.91,120.91,0.00,0.000,""
"0095","pierna de cerdo","CARNE","GR","",1000.00,0.00,10.00,0.00,91.04,91.04,0.00,0.000,""
"0096","asientos chicharron","CARNE","GR","",1000.00,0.00,10.00,0.00,120.00,120.00,0.00,0.000,""
"0097","tlalitos de cerdo","CARNE","GR","",1000.00,0.00,10.00,0.00,120.00,120.00,0.00,0.000,""
"0098","cecina","CARNE","GR","",1000.00,0.00,10.00,0.00,249.89,249.89,0.00,0.000,""
"0099","chamorro de cerdo","CARNE","GR","",1000.00,0.00,10.00,0.00,72.83,72.83,0.00,0.000,""
"0100","filete de res","CARNE","GR","",1000.00,0.00,10.00,0.00,316.44,316.44,0.00,0.000,""
"0101","suadero","CARNE","GR","",1000.00,0.00,10.00,0.00,115.94,115.94,0.00,0.000,""
"0102","carne molida res","CARNE","GR","",1000.00,0.00,10.00,0.00,114.70,114.70,0.00,0.000,""
"0103","retazo de pollo","CARNE","GR","",1000.00,0.00,10.00,0.00,33.35,33.35,0.00,0.000,""
"0104","chicharron prensado","CARNE","GR","",1000.00,0.00,10.00,0.00,84.84,84.84,0.00,0.000,""
"0105","manteca de cerdo","CARNE","GR","",1000.00,0.00,10.00,0.00,30.25,30.25,0.00,0.000,""
"0106","arrachera texana","CARNE","GR","",1000.00,0.00,10.00,0.00,240.00,240.00,0.00,0.000,""
"0107","hueso tuetano","CARNE","GR","",1000.00,0.00,10.00,0.00,50.00,50.00,0.00,0.000,""
"0108","machaca","CARNE","GR","",1000.00,0.00,10.00,0.00,569.56,569.56,0.00,0.000,""
"0109","lechon","CARNE","GR","",1000.00,0.00,10.00,0.00,152.04,152.04,0.00,0.000,""
"CEA9","ODULS S/ALCOHOL","CERVE","PZ","",355.00,0.00,10.00,0.00,8.90,0.00,0.00,0.000,""
"CEBA","BARRIL DE CERVEZA","CERVE","PZ","",12000.0,0.00,10.00,0.00,853.00,0.00,16.00,0.000,""
"CEBN","BOCANEGRA","CERVE","PZ","",355.00,0.00,10.00,0.00,18.28,18.28,16.00,0.000,""
"CEBO","BOHEMIA CLARA","CERVE","PZ","",355.00,0.00,10.00,0.00,9.99,9.87,0.00,0.000,""
"CEBS","BOHEMIA OSCURA","CERVE","PZ","",355.00,0.00,10.00,0.00,9.98,9.99,0.00,0.000,""
"CEBU","BUDWISER","CERVE","PZ","",24.00,0.00,10.00,0.00,11.75,6.37,16.00,0.000,""
"CECA","CUCAPA AMBAR","CERVE","PZ","",1.00,0.00,10.00,0.00,19.83,15.12,16.00,0.000,""
"CECB","CUCAPA OBSCURA","CERVE","PZ","",1.00,0.00,10.00,0.00,19.83,17.47,16.00,0.000,""
"CECC","CUCAPA CLASICA","CERVE","PZ","",1.00,0.00,10.00,0.00,19.83,15.12,16.00,0.000,""
"CECL","CORONA LIGHT","CERVE","PZ","",355.00,0.00,10.00,0.00,7.58,7.58,16.00,0.000,""
"CECO","TECATE","CERVE","PZ","",325.00,0.00,10.00,0.00,7.24,7.24,0.00,0.000,""
"CECR","CORONA","CERVE","PZ","",355.00,0.00,10.00,0.00,8.69,8.70,16.00,0.000,""
"CEGH","GOUSE ISL.HONKER","CERVE","PZ","",355.00,0.00,10.00,0.00,1.00,0.00,16.00,0.000,""
"CEGS","GOUSE ISLAND SOFIE","CERVE","PZ","",355.00,0.00,10.00,0.00,1.00,0.00,16.00,0.000,""
"CEHE","HEINEKEN","CERVE","PZ","",355.00,0.00,10.00,0.00,13.00,13.00,0.00,0.000,""
"CEHO","HOOGARDEN","CERVE","PZ","",355.00,0.00,10.00,0.00,29.00,15.00,0.00,0.000,""
"CELE","LEON NEGRA CERVEZA","CERVE","PZ","",355.00,0.00,10.00,0.00,8.69,8.71,16.00,0.000,""
"CEML","MODELO LIGHT","CERVE","PZ","",325.00,0.00,10.00,0.00,4.67,4.67,0.00,0.000,""
"CEMS","MODELO ESP.BOTELLA 355 ML","CERVE","PZ","",355.00,0.00,10.00,0.00,9.45,9.46,16.00,0.000,""
"CENM","NEGRA MODELO","CERVE","PZ","",355.00,0.00,10.00,0.00,9.45,9.46,16.00,0.000,""
"CEOL","ODULS","CERVE","PZ","",355.00,0.00,10.00,0.00,9.89,9.31,16.00,0.000,""
"CEOS","OSADIA","CERVE","PZ","",355.00,0.00,10.00,0.00,1.00,0.00,16.00,0.000,""
"CEPA","PACIFICO","CERVE","PZ","",355.00,0.00,10.00,0.00,8.24,8.25,16.00,0.000,""
"CEQU","QUILMES","CERVE","PZ","",355.00,0.00,10.00,0.00,25.00,20.71,0.00,0.000,""
